dbn,school_name,num of sat test takers,sat critical reading avg. score,sat math avg. score,sat writing avg. score,avg_sat_score,ap test takers,total exams taken,number of exams with scores 3 4 or 5,exams_per_student,high_score_percent,avg_class_size,frl_percent,total_enrollment,ell_percent,sped_percent,selfcontained_num,asian_per,black_per,hispanic_per,white_per,male_per,female_per,total cohort,grads_percent,dropout_percent,boro,lat,long,d75,studentssurveyed,schooltype,rr_s,rr_t,rr_p,nr_s,nr_t,nr_p,saf_p_11,com_p_11,eng_p_11,aca_p_11,saf_t_11,com_t_11,eng_t_11,aca_t_11,saf_s_11,com_s_11,eng_s_11,aca_s_11,saf_tot_11,com_tot_11,eng_tot_11,aca_tot_11
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57,370,371,365,1106,62,83,13,1.3387096774193548,15.66265060240964,21,88.1,473,17.8,20.1,44,2.5,25.2,70.4,1.9,42.3,57.7,134,65.7,22.4,Bronx,40.8703774670004,-73.89816295199967,0,Yes,High School,90,100,27,425,35,410,8.4,8,7.9,7.9,7.3,7.8,8,8.8,5.9,5.4,6.1,6.7,7.2,7.1,7.4,7.8
10X434,BELMONT PREPARATORY HIGH SCHOOL,51,404,418,400,1222,31,45,10,1.4516129032258065,22.22222222222222,22,76.8,407,11.3,15.7,43,3.2,29,65.6,1.7,47.2,52.8,96,63.5,11.5,Bronx,40.8600122210004,-73.88822960399966,0,Yes,High School,78,63,53,377,35,367,8.2,6.9,6.9,7.3,7.5,6.6,7.2,7.8,6,5.4,5.5,6.7,7.2,6.3,6.6,7.3
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48,355,350,372,1077,2.5,NA,NA,NA,NA,23,78.3,387,12.4,22.5,41,1.6,35.7,61.5,1.3,43.2,56.8,82,73.2,7.3,Bronx,40.8600122210004,-73.88822960399966,0,Yes,High School,70,52,23,358,33,355,8.4,8.5,8.5,8.4,6.3,5.5,6.1,6.7,7,6.2,7.1,7.6,7.2,6.7,7.2,7.6
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63,367,385,367,1119,42,47,12,1.119047619047619,25.53191489361702,21,78.9,451,16.6,20.6,46,2.7,27.7,67.8,1.3,63.4,36.6,144,51.4,16,Bronx,40.8600122210004,-73.88822960399966,0,Yes,High School,52,55,64,416,38,407,8.5,7.4,7.3,7.3,5.6,4.2,5.7,5.8,5.8,5.3,5.9,6.9,6.6,5.6,6.3,6.7
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65,366,364,352,1082,44,65,9,1.4772727272727273,13.846153846153847,22,80.2,432,13.4,20.8,33,2.3,30.8,64.6,0.9,44.4,55.6,115,40,12.2,Bronx,40.8600122210004,-73.88822960399966,0,Yes,High School,87,92,43,380,36,374,7.5,7.6,7.2,7.7,6.9,6,6.2,7,6,6,6.5,7.3,6.8,6.5,6.6,7.3
10X440,DEWITT CLINTON HIGH SCHOOL,443,419,426,410,1255,366,540,262,1.4754098360655739,48.51851851851852,26,74.8,4159,19,14.9,352,6.7,30.8,59.6,2.1,51.1,48.9,1013,56.5,17.5,Bronx,40.8800818400004,-73.88590153299964,0,Yes,High School,67,87,33,4227,281,3992,5.7,6.4,6.5,6.8,6,6.9,7.3,7.6,5.2,5.4,6,6.9,5.7,6.2,6.6,7.1
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52,423,420,427,1270,31,35,8,1.1290322580645162,22.857142857142858,23,74.7,423,3.5,7.8,2,0.5,27.2,69.5,2.4,40.7,59.3,82,74.4,7.3,Bronx,40.8703774670004,-73.89816295199967,0,Yes,High School,87,77,31,384,31,371,8.2,7.8,7.6,7.8,6.5,4.6,5.4,6,6.5,6.2,6.9,7.4,7.1,6.2,6.6,7.1
10X445,BRONX HIGH SCHOOL OF SCIENCE,731,632,688,649,1969,1190,2435,2189,2.046218487394958,89.89733059548254,31,34.2,3013,0.1,0.1,0,63.5,3.5,7.2,25.4,57.8,42.2,668,98.4,0,Bronx,40.8770563680004,-73.88978035099967,0,Yes,High School,98,50,45,3002,147,2924,8.1,7.8,7.6,7.9,7.4,5,5.3,6.9,6.8,6.3,6.7,7.6,7.4,6.4,6.5,7.5
10X475,JOHN F. KENNEDY HIGH SCHOOL,109,351,362,339,1052,46,48,19,1.0434782608695652,39.58333333333333,25,77.8,706,23.8,20.8,57,0.7,35.1,62.7,1.4,68.3,31.7,502,35.7,29.3,NA,NA,NA,0,Yes,High School,31,43,8,1027,70,984,7.3,6.9,6.7,6.8,4.7,3.6,3.8,4.5,5.6,5.2,5.7,6.2,5.6,4.9,5.1,5.6
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,99,414,435,414,1263,83,141,37,1.6987951807228916,26.24113475177305,23,83.9,456,32.2,6.8,0,11,23,57.9,7.5,46.7,53.3,107,88.8,0,Bronx,40.8770494430004,-73.91233659899967,0,Yes,High School,97,97,45,442,29,423,8.8,8.2,7.9,8.3,8.2,6.6,7,7.6,7.1,6.3,6.9,7.7,8,7.1,7.3,7.9
10X546,BRONX THEATRE HIGH SCHOOL,68,348,362,354,1064,34,34,NA,1,NA,24,73.7,445,9.4,15.1,21,0.4,28.8,69,1.8,32.1,67.9,108,51.9,18.5,Bronx,40.8770494430004,-73.91233659899967,0,Yes,High School,91,94,88,428,32,409,9.6,9.3,9.3,9.4,7.2,6.6,7.1,7.5,7.4,6.4,7.6,8.1,8,7.4,8,8.3
